一级表计编码,二级表计编码,三级表计编码,四级表计编码,水表号,水表名,用户号,用户名,口径
,40135X,,,3315400100.0,XXX国际纳米研究所	,30035.0,XXX国际纳米研究所,50.0
,,4013502T,,3620302700.0,纳米楼4.5楼+,30075.0,纳米楼4.5楼,40.0
,,4013501T,,3620302600.0,纳米楼3楼+,30074.0,纳米楼3楼,40.0
,40134X,,,3000000001.0,区域2,30056.0,区域2,150.0
,,4013407X,,3290100300.0,XXXT馆后平房,30040.0,XXXT馆后平房,40.0
,,4013406T,,3422000100.0,XXX后勤楼,30046.0,XXX后勤楼,40.0
,,4013404T,,3620302500.0,校管中心种子楼东+,30076.0,校管中心种子楼东,20.0
,,4013403T,,3280100100.0,XXX图书馆,30017.0,XXX图书馆,80.0
,,4013402T,,3161100100.0,XXX毒物研究所,30020.0,XXX毒物研究所,50.0
,,4013401T,,3160100100.0,XXX种子楼,30018.0,XXX种子楼,50.0
,40133X,,,3000000000.0,区域1（西）,30055.0,区域1（西）,150.0
,,4013308T,,3421300300.0,XXX大楼厕所西,30034.0,XXX大楼厕所西,50.0
,,4013307T,,3421900100.0,XXX科学楼,30050.0,XXX科学楼,50.0
,,4013305T,,3421300200.0,XXX大楼厕所东,30033.0,XXX大楼厕所东,50.0
,,4013304T,,3170200100.0,XXX中心水池,30021.0,XXX中心水池,50.0
,,4013303T,,3170100600.0,XXX西大楼,30003.0,XXX西大楼,80.0
,40126T,,,3620302000.0,书店+,30072.0,书店,20.0
,40124T,,,3620301200.0,新大门传达室+,30086.0,新大门传达室,20.0
,40123T,,,3620301000.0,养殖馆附房保卫处宿舍+,30082.0,养殖馆附房保卫处宿舍,20.0
,40122T,,,3620300900.0,养殖馆公共厕所+,30083.0,养殖馆公共厕所,15.0
,40121T,,,3620300800.0,养殖馆附房二楼厕所+,30085.0,养殖馆附房二楼厕所,15.0
,40120T,,,3620300700.0,养殖馆附房一楼厕所+,30084.0,养殖馆附房一楼厕所,25.0
,40119T,,,3620300600.0,养殖馆+,30080.0,养殖馆,25.0
,40118T,,,3620301100.0,养殖队+,30079.0,养殖队,20.0
,40117T,,,3400500100.0,XXX教学大楼总表,30014.0,XXX教学大楼总表,80.0
,40116T,,,3421300100.0,XXX中心大楼泵房,30015.0,XXX中心大楼泵房,50.0
,40115T,,,3422200100.0,XXX东大楼,30016.0,XXX东大楼,80.0
,40106T,,,3315400200.0,XXXM馆,30036.0,XXXM馆,50.0
,40105T,,,3160300300.0,XXX植物园,30038.0,XXX植物园,50.0
,,4010401T,,3620301300.0,高配房+,30078.0,高配房,20.0
419T,,,,3620303000.0,养鱼组临工宿舍+,30093.0,养鱼组临工宿舍,15.0
418T,,,,3620302900.0,养鱼组厕所+,30092.0,养鱼组厕所,15.0
417T,,,,3620302800.0,农业试验站大棚+,30091.0,农业试验站大棚,15.0
413T,,,,3030100102.0,物业,30097.0,物业,15.0
412X,,,,3030100101.0,体育馆网球场值班室,30096.0,体育馆网球场值班室,15.0
411T,,,,3312800100.0,XXXS宾馆,30004.0,XXXS宾馆,80.0
406T,,,,3620302200.0,东大门传达室+,30066.0,东大门传达室,20.0
